PastMode,presentPositionEntered,ACAIRB=Yes,IMSAUTOC=On,Desig,Data23=Sea,CAstageComplete,CLstageComplete,NDstageComplete,HSstageComplete,PNLTEST=TEST,IMSup,latitude>70,latitude>80,DopplerUp,DopplerCoupled,IMSMODE=Gndal,IMSMODE=Norm,IMSMODE=Iner,IMSMODE=MagSl,IMSMODE=Grid,AirVelocityTestPassed,PitchSmall AND RollSmall,SINSup,SINSvelocityTestPassed,LandVelocityTestPassed,NoInterveningTakeoff,GroundTestFinished,CurrentMode
Airaln,,t,,,,,f,,,,,,,F,,,,,,,,,,,,,,OLB
Airaln,,t,,,,,f,,,,,,,,f,,,T,,,,,,,,,,OLB
Airaln,,t,,,,,f,,,,,,,,,,,T,,,,f,,,,,,OLB
Airaln,,t,,,,,,,,,,,,,,,,,T,,,,,,,,,MagSl
Airaln,,t,,,,,,,,,,,,,,,,,,T,,,,,,,,Grid
Airaln,,t,,,,,,,,,F,,,,,,,,,,,,,,,,,IMSfail
Airaln,,t,,,,,t,,,,,,t,,t,,,T,,,,,,,,,,PolarDI
Airaln,,F,,,,,t,,,,,,t,,,,,,,,,,,,,,,PolarI
Airaln,,t,,,,,t,,,,,,t,F,,,,,,,,,,,,,,PolarI
Airaln,,t,,,,,t,,,,,,t,,f,,,T,,,,,,,,,,PolarI
DIG,T,t,,,,,,,,,,,,,,,,,,,,,,,,,,Airaln
DIG,,t,,,,,,,,,,,,t,t,,,T,,,,,,,,,,DI
DIG,f,t,,,,,,,,,,T,,,,,,,,,,,,,,,,DI
DIG,,F,,,,,,,,,,,,,,,,,,,,,,,,,,I
DIG,,t,,,,,,,,,,f,,F,,,,,,,,,,,,,,I
DIG,,t,,,,,,,,,,,,,f,,,T,,,,,,,,,,I
DIG,,t,,,,,,,,,,,,,,,,,T,,,,,,,,,MagSl
DIG,,t,,,,,,,,,,,,,,,,,,T,,,,,,,,Grid
DIG,,t,,,,,,,,,F,,,,,,,,,,,,,,,,,IMSfail
DI,,t,,,,f,,,,,,,f,,,,T,,,,,,,,,,,Airaln
DI,,t,,,,f,,,,,,,f,,,T,,,,,,,,,,,,Airaln
DI,T,t,,,,,,,,,,,,t,,,t,,,,,,,,,,,Airaln
DI,T,t,,,,,,,,,,,,t,,t,,,,,,,,,,,,Airaln
DI,,t,,,,t,,,,,,f,,,,,T,,,,,,,,,,,DIG
DI,,t,,,,t,,,,,,f,,,,T,,,,,,,,,,,,DIG
DI,f,t,,,,t,,,,,,F,,t,,,t,,,,,,,,,,,DIG
DI,f,t,,,,t,,,,,,F,,t,,t,,,,,,,,,,,,DIG
DI,,F,,,,,,,,,,,,,,,,,,,,,,,,,,I
DI,,t,,,,,,,,,,,,F,,,,,,,,,,,,,,I
DI,,t,,,,,,,,,,,,,F,,,t,,,,,,,,,,I
DI,,t,,,,,,,,,,,,,f,,,T,,,,,,,,,,I
DI,T,t,,,,,,,,,,,,,,,,t,,,,t,,,,,,UDI
DI,T,t,,,,,,,,,,,,,,,,t,,,,f,,,,,,OLB
DI,,t,,,,,,,,,,,,,,,,,T,,,,,,,,,MagSl
DI,,t,,,,,,,,,,,,,,,,,,T,,,,,,,,Grid
DI,,t,,,,,,,,,F,,,,,,,,,,,,,,,,,IMSfail
DI,,t,,,,,,,,,,,T,,,,,,,,,,,,,,,PolarDI
I,,F,,,f,,,,,,,,,,,t,,,,,,,,,,,,Landaln
I,,t,,,,f,,,,,,,,T,,t,,,,,,,,,,,,Airaln
I,,t,,,,f,,,,,,,,T,,,t,,,,,,,,,,,Airaln
I,,t,,,,f,,,,,,,,t,,T,,,,,,,,,,,,Airaln
I,,t,,,,f,,,,,,,,t,,,T,,,,,,,,,,,Airaln
I,f,t,,,,t,,,,,,f,,T,,t,,,,,,,,,,,,DIG
I,f,t,,,,t,,,,,,f,,T,,,t,,,,,,,,,,,DIG
I,,t,,,,t,,,,,,f,,t,,T,,,,,,,,,,,,DIG
I,,t,,,,t,,,,,,f,,t,,,T,,,,,,,,,,,DIG
I,,t,,,,t,,,,,,t,f,t,,T,,,,,,,,,,,,DI
I,,t,,,,t,,,,,,t,f,t,,,T,,,,,,,,,,,DI
I,f,t,,,,,,,,,,t,f,T,,t,,,,,,,,,,,,DI
I,f,t,,,,,,,,,,t,f,T,,,t,,,,,,,,,,,DI
I,f,t,,,,,,,,,,,f,T,t,,,t,,,,,,,,,,DI
I,f,t,,,,,,,,,,,f,t,T,,,t,,,,,,,,,,DI
I,T,t,,,,,,,,,,,,,,,,,,,,,,,,,,OLB
I,,t,,,,,,,,,,,,,,,,,T,,,,,,,,,MagSl
I,,t,,,,,,,,,,,,,,,,,,T,,,,,,,,Grid
I,,t,,,,,,,,,F,,,,,,,,,,,,,,,,,IMSfail
I,,t,,,,,,,,,,,T,,,,,,,,,,,,,,,PolarI
UDI,,t,,,,,,,,,,,,t,,,T,,,,,,,,,,,Airaln
UDI,,t,,,,,,,,,,,,t,,T,,,,,,,,,,,,Airaln
UDI,,t,,,,,,,,,,,,,,f,,,,,,F,,,,,,OLB
UDI,,F,,,,,,,,,,,,,,,,,,,,,,,,,,OLB
UDI,,t,,,,,,,,,,,,F,,,,,,,,,,,,,,OLB
UDI,,t,,,,,,,,,,,,,F,,,,,,,,,,,,,OLB
UDI,,t,,,,,,,,,,,,,,,,,T,,,,,,,,,MagSl
UDI,,t,,,,,,,,,,,,,,,,,,T,,,,,,,,Grid
UDI,,t,,,,,,,,,F,,,,,,,,,,,,,,,,,IMSfail
OLB,,t,,,,,,,,,,,,T,,t,,,,,,,,,,,,Airaln
OLB,,t,,,,,,,,,,,,T,,,t,,,,,,,,,,,Airaln
OLB,,t,,,,,,,,,,,,t,,T,,,,,,,,,,,,Airaln
OLB,,t,,,,,,,,,,,,t,,,T,,,,,,,,,,,Airaln
OLB,,t,,,,,,,,,,,,T,t,,,t,,,,t,,,,,,UDI
OLB,,t,,,,,,,,,,,,t,T,,,t,,,,t,,,,,,UDI
OLB,,t,,,,,,,,,,,,t,t,,,,,,,T,,,,,,UDI
OLB,,t,,,,,,,,,,,,,,,,,T,,,,,,,,,MagSl
OLB,,t,,,,,,,,,,,,,,,,,,T,,,,,,,,Grid
OLB,,t,,,,,,,,,F,,,,,,,,,,,,,,,,,IMSfail
MagSl,,t,,,,,,,,,,,,t,,T,,,,,,,,,,,,Airaln
MagSl,,t,,,,,,,,,,,,t,,,T,,,,,,,,,,,Airaln
MagSl,,t,,,,,,,,,,,,t,t,,,T,,,,t,,,,,,UDI
MagSl,,t,,,,,,,,,,,,f,,,,T,,,,,,,,,,OLB
MagSl,,t,,,,,,,,,,,,,f,,,T,,,,,,,,,,OLB
MagSl,,t,,,,,,,,,,,,,,,,T,,,,f,,,,,,OLB
MagSl,,t,,,,,,,,,,,,f,,T,,,,,,,,,,,,OLB
MagSl,,t,,,,,,,,,,,,f,,,T,,,,,,,,,,,OLB
MagSl,,t,,,,,,,,,,,,,,,,,,T,,,,,,,,Grid
MagSl,,t,,,,,,,,,F,,,,,,,,,,,,,,,,,IMSfail
Grid,,t,,,,,,,,,,,,t,,T,,,,,,,,,,,,Airaln
Grid,,t,,,,,,,,,,,,t,,,T,,,,,,,,,,,Airaln
Grid,,t,,,,,,,,,,,,t,t,,,T,,,,t,,,,,,UDI
Grid,,t,,,,,,,,,,,,f,,,,T,,,,,,,,,,OLB
Grid,,t,,,,,,,,,,,,,f,,,T,,,,,,,,,,OLB
Grid,,t,,,,,,,,,,,,,,,,T,,,,f,,,,,,OLB
Grid,,t,,,,,,,,,,,,f,,T,,,,,,,,,,,,OLB
Grid,,t,,,,,,,,,,,,f,,,T,,,,,,,,,,,OLB
Grid,,t,,,,,,,,,,,,,,,,,T,,,,,,,,,MagSl
Grid,,t,,,,,,,,,F,,,,,,,,,,,,,,,,,IMSfail
IMSfail,,t,,,,,,,,,T,,,t,,t,,,,,,,,,,,,Airaln
IMSfail,,t,,,,,,,,,T,,,t,,,t,,,,,,,,,,,Airaln
IMSfail,,t,,,,,,,,,T,,,t,t,,,t,,,,t,,,,,,UDI
IMSfail,,t,,,,,,,,,T,,,f,,,,t,,,,,,,,,,OLB
IMSfail,,t,,,,,,,,,T,,,,f,,,t,,,,,,,,,,OLB
IMSfail,,t,,,,,,,,,T,,,,,,,t,,,,f,,,,,,OLB
IMSfail,,t,,,,,,,,,T,,,f,,t,,,,,,,,,,,,OLB
IMSfail,,t,,,,,,,,,T,,,f,,,t,,,,,,,,,,,OLB
IMSfail,,t,,,,,,,,,T,,,,,,,,t,,,,,,,,,MagSl
IMSfail,,t,,,,,,,,,T,,,,,,,,,t,,,,,,,,Grid
PolarDI,T,t,,,,,,,,,,,,t,,,t,,,,,,,,,,,Airaln
PolarDI,T,t,,,,,,,,,,,,t,,t,,,,,,,,,,,,Airaln
PolarDI,T,t,,,,,,,,,,,,,,,,t,,,,t,,,,,,UDI
PolarDI,T,t,,,,,,,,,,,,,,,,t,,,,f,,,,,,OLB
PolarDI,,t,,,,,,,,,,,,,,,,,T,,,,,,,,,MagSl
PolarDI,,t,,,,,,,,,,,,,,,,,,T,,,,,,,,Grid
PolarDI,,t,,,,,,,,,F,,,,,,,,,,,,,,,,,IMSfail
PolarDI,,t,,,,,,,,,,,,F,,,,,,,,,,,,,,PolarI
PolarDI,,t,,,,,,,,,,,,,F,,,t,,,,,,,,,,PolarI
PolarDI,,t,,,,,,,,,,,,,f,,,T,,,,,,,,,,PolarI
PolarDI,,F,,,,,,,,,,,,,,,,,,,,,,,,,,PolarI
PolarI,,F,,,f,,,,,,,,,,,t,,,,,,,,,,,,Landaln
PolarI,,t,,,,f,,,,,,,,T,,t,,,,,,,,,,,,Airaln
PolarI,,t,,,,f,,,,,,,,T,,,t,,,,,,,,,,,Airaln
PolarI,,t,,,,f,,,,,,,,t,,T,,,,,,,,,,,,Airaln
PolarI,,t,,,,f,,,,,,,,t,,,T,,,,,,,,,,,Airaln
PolarI,T,t,,,,,,,,,,,,t,,t,,,,,,,,,,,,Airaln
PolarI,T,t,,,,,,,,,,,,t,,,t,,,,,,,,,,,Airaln
PolarI,T,t,,,,,,,,,,,,,,,,t,,,,,,,,,,OLB
PolarI,T,t,,,,,,,,,,,,f,,,,,,,,,,,,,,OLB
PolarI,,t,,,,,,,,,,,,,,,,,T,,,,,,,,,MagSl
PolarI,,t,,,,,,,,,,,,,,,,,,T,,,,,,,,Grid
PolarI,,t,,,,,,,,,F,,,,,,,,,,,,,,,,,IMSfail
PolarI,,t,,,,,,,,,,,,T,t,,,t,,,,,,,,,,PolarDI
PolarI,,t,,,,t,,,,,,,,T,,t,,,,,,,,,,,,PolarDI
PolarI,,t,,,,t,,,,,,,,T,,,t,,,,,,,,,,,PolarDI
PolarI,,t,,,,,,,,,,,,t,T,,t,,,,,,,,,,,PolarDI
PolarI,,t,,,,t,,,,,,,,t,,T,,,,,,,,,,,,PolarDI
PolarI,,t,,,,t,,,,,,,,t,,,T,,,,,,,,,,,PolarDI
